5,6,4, Diminishes the severity of OCD by equating minor quirks to a medical condition.," Spreads misunderstanding, suggesting OCD is about being quirky or particular."," Invalidates the experiences of those with OCD, making them feel unseen."
6,7,5, Implies that the individual's focus issues are a choice or lack of effort., Creates a sense of otherness and inadequacy by comparing to peers., Ignores the individual's unique challenges or needs for support.
8,9,8, Associates shame with a behavior that may be uncontrollable or comforting.," Enforces societal norms that may not apply to everyone, especially those with neurodivergent conditions.", Can lead to selfstigmatization and decreased selfesteem.
9,10,9," Directly attacks the person for needing medication, implying abnormality."," Stigmatizes mental health medication, contributing to broader societal prejudices."," Creates a harmful dichotomy between ""normal"" and those who need medication."
4,5,3," Oversimplifies ADHD, reducing it to a matter of not trying hard enough."," Patronizes the individual, undermining the legitimacy of their struggles."," Perpetuates myths that ADHD is a 'superpower,' ignoring its challenges."
7,8,7," Invalidates the individual's experience, suggesting they're not genuinely affected.", Implies that ADHD is not a real or serious condition., Dismisses the need for understanding or accommodation.
6,7,5, Promotes the harmful myth that intelligence and ADHD are mutually exclusive., Undermines the individual's experiences and challenges with ADHD., Can make people with ADHD question their intelligence or the validity of their diagnosis.
9,10,9, Accuses the individual of dishonesty and exploiting their condition.," Denies the validity of their autism, erasing their experiences.", Adds a layer of suspicion and mistrust to their interactions.
3,4,3," While intending to be positive, it can diminish the real challenges faced.", Overlooks the need for support and accommodations., Can be dismissive of the individual's lived experience.
5,6,4," Imposes neurotypical norms, ignoring the discomfort it can cause for some autistic individuals.", Suggests that their natural behavior is incorrect or unacceptable.," Can increase anxiety or discomfort, feeling pressured to conform."
6,7,6," Suggests autism has a specific appearance, perpetuating stereotypes.", Invalidates the person's diagnosis based on superficial judgments., Can make individuals feel misunderstood or pressured to prove their autism.
6,7,5, Implies that being quiet is a choice rather than a part of their condition., Can make the person feel pressured to speak when they are uncomfortable., Ignores the diversity of communication styles and needs in autism.
7,8,6," Undermines the legitimacy of autism diagnoses, suggesting many are invalid.", Can make individuals doubt the validity of their own diagnosis.," Contributes to the stigma surrounding autism, making it harder to seek support."
5,6,4," Reduces the individual's identity to a TV character, overlooking their uniqueness.", Perpetuates stereotypes about autistic individuals.," Can make the person feel like they're seen as a caricature, not a person."
7,8,7," Compares individuals in a way that ranks their autism, which is divisive and unhelpful."," Implies a hierarchy of autism, which can marginalize those at different points on the spectrum.", Can make the person feel invalidated or like they must prove their autism.
7,8,7," Invalidates the diagnosis or identity of someone with Asperger's, implying it's less serious or different from autism.", Creates unnecessary distinctions that can lead to more division and misunderstanding., Can make individuals with Asperger's feel marginalized or less recognized.
8,9,8, Promotes debunked and harmful theories linking vaccines to autism., Implies autism is something to be blamed for.," Can create guilt or anger towards false causes, detracting from acceptance and understanding."
8,9,8," Implies that ""normal"" is a desirable or superior state to aspire to.", Overlooks the inherent challenges and nature of being on the autism spectrum., Puts pressure on individuals to hide or change their natural selves.
6,7,6," Associates the individual's identity with a negative historical figure, which can be distressing.", Suggests that their diagnosis is tainted or should be avoided due to historical associations., Can make individuals feel uncomfortable or stigmatized about their diagnosis.
4,5,4, Diminishes the significance of an autism diagnosis by trivializing it., Can make individuals feel like their experiences are not unique or serious., Minimizes the challenges faced by those on the spectrum.
4,5,3," While possibly intended as a compliment, it stereotypes autistic individuals as having a single defining trait.", Overlooks the diverse experiences and challenges of autistic individuals., Can create unrealistic expectations or pressure to conform to a stereotype.
8,9,8, Reduces the individual to their diagnosis in the context of relationships., Implies a lower standard of relationship expectations for autistic individuals.," Can be demeaning, suggesting that only those who are desperate would consider a relationship with them."
8,9,7, Limits the individual's potential based on their disability., Ignores the ability of visually impaired individuals to engage in and create art in different ways., Can discourage the pursuit of personal interests or passions due to perceived limitations.
6,7,5, Questions the capability of visually impaired individuals to use technology., Overlooks the existence of assistive technologies that enable access to digital platforms., Can make the person feel scrutinized or doubted in their ability to engage in common activities.
7,8,6, Shows a lack of understanding of different types of visual impairment and conditions., Invalidates the individual's experience with their condition., Perpetuates misconceptions about blindness and associated conditions.
6,5,4," Suggests misuse of a service animal, implying exploitation, which is disrespectful to the owner's need for assistance."," Undermines the legitimate use of service animals for people with disabilities, suggesting they don't have the right to their aid."," Exhibits a lack of understanding about the role and training of service animals, spreading misinformation."
7,7,6," Intrusive and personal, making an unwarranted comment on someone's bodily functions."," Implies that being blind limits understanding or awareness of one's own body, which is demeaning.", Perpetuates stereotypes that people with disabilities cannot manage personal care or lack bodily awareness.
