3,4,3,1. Intent might be to reframe autism positively but fails to recognize the challenges and needs for support.,"2. Glosses over the real impacts and struggles faced by autistic individuals, simplifying complex issues.",3. Can feel dismissive to those who experience significant hurdles due to their autism.
10,10,10,"1. Advocates for violence and genocide against disabled people, shockingly inhumane.","2. Extremely ableist, suggesting disabled lives are not worth living.",3. Its historical reference to atrocities makes it deeply offensive and toxic.
8,9,7,1. Directly attacks an individual’s aspirations based on their disability.,2. Reinforces stereotypes that disabilities automatically preclude success in certain fields.,"3. Undermines the person's effort and potential, fostering a discouraging environment."
5,6,5,1. May be intended as encouragement but minimizes the significant impact a disability might have on someone's identity and life.,2. Suggests that having a disability as a defining aspect is negative.,3. Fails to acknowledge that embracing one's disability can be a source of strength and community.
6,7,6,"1. Intrusively focuses on personal, private matters in a demeaning way.",2. Implies incompetence or abnormality in daily activities because of a physical disability.,"3. Such questions can alienate and otherize individuals, making them feel dehumanized."
6,7,6,1. Invasive and implies that blindness severely impairs personal care management.,2. Suggests a lack of capability or independence in managing bodily functions.,3. Can make the individual feel diminished and overly scrutinized for normal bodily processes.
7,8,7,"1. Shames natural or uncontrollable physical responses, often associated with neurodivergence.",2. Perpetuates stigma against adult manifestations of certain conditions or stress responses.,3. Embarrasses and invalidates the individual’s coping mechanisms or neurological traits.
9,9,9,1. Erases the legitimacy of invisible disabilities by attributing them to personal failings.,2. Perpetuates harmful stereotypes linking physical appearance to laziness and disability.,"3. Demeaning and dismissive, undermining the individual's experiences and challenges."
8,10,8,"1. Dehumanizes by reducing individuals to their disability, in this case, muteness.",2. Uses a derogatory term that shows a lack of respect and understanding.,3. Encourages a dismissive and mocking attitude towards speech disabilities.
4,5,4,1. Might be intended as practical advice but trivializes the experience of living with a speech disability.,2. Suggests that financial benefits are a significant consolation for disability challenges,
9,10,9,"1. Implies that life quality is solely dependent on physical abilities, which is deeply hurtful to those with mobility issues.","2. Completely dismisses the rich, fulfilling lives many people who can't walk lead.","3. Spreads a toxic message that devalues the lives of individuals with disabilities, undermining their worth and dignity."
7,8,7,"1. Falsely links speech disfluencies with violent tendencies, creating unjust stigma.",2. Spreads misinformation that can lead to fear and discrimination against those with speech disfluencies.,"3. It unfairly characterizes a group based on untruths, leading to increased prejudice and isolation."
8,9,8,"1. Misuses a medical diagnosis as a casual insult, which is insensitive and hurtful.",2. Minimizes and misrepresents the experiences of those living with bipolar disorder.,"3. Invalidates the person’s feelings and experiences, implying they're merely symptoms rather than legitimate reactions."
