2,3,2,"1. Some might see this as an attempt to positively reframe autism, which could reduce hurtfulness.","2. It undermines the challenges faced by autistic individuals, dismissing the need for support and accommodations.","3. It can be seen as diminishing the lived experience of disability, which might not align with how all autistic people view their condition."
10,10,10,"1. This statement promotes violence against disabled individuals, making it extremely hurtful.","2. It is fundamentally ableist, suggesting that disabled lives are not worth living.","3. The reference to gas chambers is historically loaded, invoking the Holocaust, which adds to its toxicity."
8,8,7,1. It directly attacks the individual’s capabilities and future prospects based on their disability.,2. Assumes limitations without considering accommodations or the diversity of talents in STEM fields.,"3. Undermines the individual’s effort and potential, which can be very discouraging and toxic."
5,5,4,"1. Though possibly wellintentioned, it can feel dismissive of the significant impact a disability may have on someone’s life.",2. Implies that being defined by one's disability is inherently negative.,"3. Can undermine the identity and experiences of people with disabilities, pressuring them to minimize their challenges."
6,6,5,1. It invades personal privacy and highlights differences in a potentially demeaning way.,2. Reflects ignorance and stereotypes about physical disabilities.,3. May make the person feel othered or reduced to their disability.
6,6,5,1. This question is invasive and implies that blindness severely limits personal management abilities.,2. It overlooks the fact that individuals can use other senses and techniques to manage personal care.,3. The question can make someone feel diminished or incompetent.
7,8,7,1. It shames a person for behavior that may be beyond their control or a part of their disability.,2. Links shame to a symptom or coping mechanism related to a disability.,3. This judgment can undermine selfesteem and worsen anxiety.
9,9,9,"1. It's a direct attack on someone’s appearance and character, which is deeply hurtful.","2. Dismisses the legitimacy of disabilities, especially invisible ones, and attributes them to personal failings.","3. It perpetuates harmful stereotypes about both disability and body size, which is toxic."
8,10,8,1. It dehumanizes individuals by reducing them to their disability.,2. The term is derogatory and dismissive of the challenges faced by those who are mute or have speech disabilities.,3. Promotes a toxic environment by using offensive language to describe a person.
3,4,3,"1. May be seen as an insensitive attempt to find a ""silver lining"" in a disability.",2. Implies that the primary value of living with a disability is financial,
9,10,9,"1. It makes a harsh judgment about the quality of life based on physical ability, which is incredibly hurtful.",2. This statement completely disregards the full and meaningful lives many people who can't walk lead.,3. It spreads a harmful and toxic message that devalues the lives of people with mobility impairments.
7,8,7,"1. This statement unfairly associates speech disfluencies with violent behavior, causing fear and misunderstanding.","2. It perpetuates a stigma against individuals with speech disfluencies, falsely linking them to criminal behavior.",3. Spreading this misinformation can lead to unjust treatment and increased discrimination.
8,9,8,"1. Misuses a serious medical condition (bipolar disorder) as a casual descriptor for moodiness, which is insensitive.",2. This statement minimizes the experiences of those who actually live with bipolar disorder.,"3. It invalidates the person’s feelings by suggesting their emotions are simply symptoms to be controlled, not understood."
