4,5,4,1. Might be intended as positive but oversimplifies and potentially invalidates the real challenges of autism.,"2. Glosses over the need for accommodations and support, suggesting misunderstanding.",3. Can feel dismissive to those who struggle with aspects of autism they indeed find disabling.
10,10,10,"1. Extremely violent and hateful, suggesting disabled lives are not worth living.",2. Directly promotes genocide and discrimination against people with disabilities.,"3. Shockingly inhumane and betraying, especially coming from a friend."
8,9,8,1. Undermines the individual’s aspirations and abilities based on their disability.,2. Ignores the possibility of accommodations and diverse talents within STEM fields.,"3. Discouraging and dismissive, potentially crushing to someone’s ambitions."
6,6,5,"1. While possibly wellintentioned, can undermine the significant impact a disability has on someone’s identity.",2. Implies that having a disability as a defining aspect is inherently negative.,3. May feel dismissive of the lived experiences and challenges faced by individuals with disabilities.
7,8,7,1. Invasively focuses on personal capabilities in a demeaning manner.,2. Suggests a lack of understanding and respect for physical disabilities.,3. Reduces the person to their disability rather than treating them as a whole individual.
7,8,7,1. Invasive and implies that blindness makes managing personal health uniquely challenging.,2. Underestimates the capabilities and adaptations of individuals who are blind.,"3. Implies a lack of autonomy or knowledge about one’s own body, which can be demeaning."
7,8,7,1. Shames a possibly uncontrollable behavior or coping mechanism.,2. Fails to acknowledge the legitimacy of neurodiverse traits or anxietyrelated behaviors.,3. Promotes stigma against adult manifestations of neurodiversity or stress responses.
9,9,9,1. Falsely attributes disability to lack of effort or character flaw.,2. Dismissive of invisible disabilities and contributes to harmful stereotypes.,"3. Deeply insulting and undermining, particularly hurtful coming from a friend."
8,10,8,1. Reduces people to their disability in a derogatory manner.,2. Shows a profound lack of respect for communication differences.,"3. Dehumanizing and belittling, especially harmful in the context of friendship."
5,6,5,1. May be seen as trying to find a positive but trivializes the daily challenges faced.,2. Implies that the primary significance of a disability is financial benefit.,"3. Overlooks the emotional and social impacts, simplifying complex issues."
9,10,9,"1. This statement devalues the lives of individuals with mobility impairments, suggesting their lives lack quality or worth.","2. Implies a narrow and harmful view of life, dismissing the experiences and achievements of those who can't walk.","3. Deeply insensitive and demoralizing, especially coming from a friend, it can significantly impact one's selfesteem and mental health."
8,9,8,"1. Spreads false and harmful stereotypes about people with speech disfluencies, unfairly associating them with violent behavior.","2. Can lead to fear, misunderstanding, and additional stigma towards those who already face challenges in communication.","3. Ignorant and sensationalist, such a statement from a friend can feel like a betrayal of trust and understanding."
8,9,8,"1. Misuses a medical diagnosis as a casual critique, minimizing the reality of living with bipolar disorder.",2. Dismisses the person's feelings or behavior by inaccurately attributing them to a mental health condition.,"3. Reinforces mental health stigma, making it harder for people to be open about their conditions, and misrepresents the nature of bipolar disorder."
